Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2015,2021,6,37896.35838978486,-35857.633876798805,0.8557865293969992,70381.41633208648,-0.14691484858993337,40056.70740750266,31332.37850704139,8724.328900461252,-37919.93557144425,-29591.55986524816,8328.375706196077,0.8219437921603927,0.9586139172756176,0.1366701251152251,46472.95634896134,28512.653375743397,17960.30297321794,-44359.18556808857,-26556.037414843555,17803.148153245027,0.8532776366747787,0.8585315233129148,0.005442153148878015
2015,2022,7,36558.4450864045,-34427.88509708088,0.8461447169579679,68873.7072849143,-0.13533346253136222,38406.84318126097,30855.48314572841,7551.3600355325725,-36184.8547368008,-29007.012280706214,7177.842456094585,0.8228452239810042,0.9180318943222101,0.09518667034120588,44843.834131968506,27594.36573325141,17249.468398717094,-42627.79460540889,-25556.28726177085,17071.50734363803,0.8401041967467694,0.8526800410338483,0.012575844287079085
2016,2017,1,22453.000506479046,-8878.011196381265,0.8415891019286376,50754.28509286805,0.3809381421749317,23299.09565704126,18409.026555779958,4890.069101261307,-9243.395916548494,-7131.6280746272905,2111.7678419212034,0.8091535962144906,0.9966169851384673,0.1874633889239767,27706.384884682306,16766.793209497406,10939.591675184902,-11220.008899138105,-6343.057827618858,4876.951071519246,0.8107594617022761,0.8749587761420468,0.06419931443977063
2016,2018,2,22886.727421605392,-9338.561022363567,0.858081613133021,51800.96763246581,0.36329286491330104,23852.950365108456,18185.2181795201,5667.732185588356,-9756.169883944216,-7306.533180859611,2449.636703084603,0.8271283699043276,1.0086958788061218,0.18156750890179404,28135.41304737392,17233.92864356841,10901.484403805514,-11761.178588362884,-6729.418354435795,5031.76023392709,0.8348271000045284,0.8831265658638947,0.04829946585936617
2016,2019,3,41338.832883859126,-40357.73235627784,0.8222648005918638,75564.03167216895,-0.25368591676173696,43190.29465700346,32242.16754512727,10948.127111876189,-42233.03704777274,-31143.92117522847,11089.115872544266,0.8099195869312473,0.8829197267883969,0.07300013985714934,51406.11787870731,30395.353662307374,21010.76421639993,-50539.06805020831,-29290.27616812097,21248.791882087346,0.8332956132736012,0.8102739341923139,0.02302167908128754
2016,2021,5,41137.66342163542,-40070.59186236876,0.8607763786332611,73934.46525307969,-0.26562409609533044,43747.72711472571,33207.27558447809,10540.451530247625,-42698.26985160233,-32086.684948161943,10611.58490344039,0.8380391095045686,0.9298610385309144,0.0918219290263457,50399.344383185045,31004.40516573709,19394.939217447954,-49446.752109509514,-29812.08116356492,19634.670945944607,0.8666530230630123,0.8543467082600344,0.012306314802977706
2016,2022,6,39790.530858066995,-38692.51613355672,0.8545141765509388,72410.39565623643,-0.25491322178136144,42057.48824815955,32796.16543818912,9261.32280997042,-40982.091915402925,-31628.36497450864,9353.72694089429,0.8366726543943279,0.9095615833330696,0.07288892893874156,48731.28117712459,30117.406892974333,18613.874284150257,-47777.114326000315,-28863.76112389594,18913.353202104372,0.8515221596978145,0.8577512818153846,0.006329170151960891
2017,2018,1,22927.418212105986,-9481.589170589948,0.8615897812164413,52164.63534374844,0.35432165535165644,23855.654271312604,18410.747975137165,5444.906296175434,-9945.654411007225,-7223.510917094812,2722.1434939124124,0.830552390748956,1.0126134958925228,0.1820611051435667,28289.996821525798,17151.95746406073,11138.03935746506,-11918.243195269644,-6857.329331977224,5060.913863292418,0.8537979469502432,0.8699815338111075,0.016183586860864116
2017,2019,2,34281.458901963866,-31183.59444381624,0.7982382743082348,66625.93103458436,0.025340424454765153,35747.02580214492,27080.785457959515,8666.240344185413,-32650.32018379264,-23977.22734847522,8673.09283531742,0.7752930696850634,0.9109734388216442,0.1356803691365808,42181.67301339535,25693.659011675372,16488.014001719974,-38904.045155964,-22791.20344737187,16112.84170859213,0.7964908910343848,0.8001377390158747,0.0037231368899750205
2017,2021,4,34052.53736406205,-30792.46170006837,0.849665345451352,65067.07907369197,0.019741575520800744,36086.311071263524,27873.14246507221,8213.168606191317,-32752.411909370345,-24837.37127739777,7915.040631972572,0.8211311310306699,0.9363633779873674,0.11523224695669754,41265.142246354924,26161.184997957884,15103.957248397051,-37789.37816006893,-23137.095273770232,14652.282886298704,0.8490029617350024,0.8503900632741895,0.0022353618970916258
2017,2022,5,32819.5420888778,-29410.528227892526,0.8401018790733535,63757.32024989048,0.027076376095576327,34597.29210551622,27334.554459244697,7262.737646271516,-31142.16409703522,-24067.81905484657,7074.3450421886455,0.8064682316562701,0.9438735782973995,0.13740534664112936,39753.011752120845,25318.12339722727,14434.88835489358,-36110.60156488505,-22161.624315902725,13948.977248982335,0.8333058960620184,0.8474545490157387,0.0141486529537204
2018,2019,1,37954.18249254624,-36072.8951859016,0.8290611437144203,72069.80138193005,-0.14043714561332543,39791.265734949615,28928.1622430679,10863.103491881717,-37976.07432307372,-26722.130324519025,11253.943998554696,0.8082366564174307,0.9313767272922935,0.1231400708748627,47179.49232356366,27925.95874604658,19253.533577517075,-45437.645653759915,-25893.094751875054,19544.550901884868,0.8349545636764683,0.8226547969256331,0.012299766750835273
2018,2021,3,37649.39358147068,-35646.00001288026,0.8750834923615403,70294.93687999716,-0.14410515730431597,40238.111271925845,29783.863195921815,10454.248076004038,-38316.14450987863,-27533.06334451221,10783.081165366415,0.8445395474737469,0.967887867089333,0.12334831961558626,46093.13455481593,28411.04815756379,17682.08639725212,-44209.62263586539,-26276.49138857948,17933.131247285903,0.8791294820074557,0.8706567518861381,0.008472730121317678
2018,2022,4,36312.10968588136,-34241.29694496446,0.8777431320701251,68750.9669169573,-0.13129702584179065,38559.43255345772,29378.32371311765,9181.108840340068,-36567.33635365365,-27064.642599139057,9502.693754514583,0.8464077077768839,0.9744240000263162,0.12801629224943242,44438.6448002455,27519.89664304936,16918.74815719614,-42516.46833868332,-25288.272213560453,17228.196125122864,0.8773733437899937,0.8781432112298048,0.002188900406029204
2019,2021,2,23851.345548725145,-8916.271765502732,0.9652152128857291,51960.351914580664,0.3748963950646062,25207.845959431626,19729.77013022313,5478.075829208491,-9342.223407348847,-7622.065141865067,1720.15826548378,0.9156293167723462,1.1158764356264392,0.20024711885409302,28949.065432266296,18273.900988649577,10675.164443616724,-10896.519191907524,-6749.671699527189,4146.847492380337,0.9660929878844844,0.9642548342255394,0.0020396990876184445
2019,2022,3,23402.11436474114,-7539.80093049196,0.9698711836981694,51383.2160824421,0.36809554382734133,24606.165023989844,19687.19218242061,4918.9728415692325,-7741.147713000386,-6918.574885778741,822.5728272216431,0.9265102981264418,1.1036548533620223,0.17714455523558043,28320.804345335033,18080.51424951066,10240.290095824366,-9283.888807943169,-5652.847638815748,3631.0411691274207,0.947604055714112,0.9939623037552022,0.04635824804109019
2021,2022,1,23288.33602753783,-8260.947214842694,0.9733404228340701,51377.29080627046,0.3682412954327648,24503.880512670465,19537.95132675267,4965.9291859178,-8650.574577288517,-7058.808982143922,1591.7655951445952,0.9223199955870375,1.1307564879103844,0.20843649232334666,28173.312659730378,18003.2108597924,10170.101799937976,-10242.450148058084,-6117.131223322254,4125.318924735828,0.9488916434947672,0.9997919022854282,0.05090025879066128
