Ano_Treino_1,Ano_Treino_2,Ano_Teste,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2019,2021,2021,26175.869205729166,-11364.169,0.8840265377362571,58706.820880276064,0.3717050739129384,27476.4619140625,21219.928359374993,6256.533554687499,-12103.42,-8546.833,3556.5889,0.8435311373074851,1.038353636662165,0.19482249935468038,32031.476588541664,19790.234739583335,12241.241848958336,-14190.935,-8281.474,5909.461,0.8756206170717876,0.8931997179985046,0.025285773277282715
2019,2021,2022,29002.594205729165,-16116.126,0.8743993759155273,65366.83184048154,0.3308239261309306,30569.117903645834,24169.310221354168,6399.807682291666,-17110.69,-13047.543,4063.1472,0.8294030288855235,1.0132291038831076,0.18382607499758402,35071.02395833333,22437.073763020835,12633.9501953125,-19633.135,-12311.021,7322.114,0.8489059368769328,0.9019811113675436,0.053075174490610756
2014,2015,2017,23314.070638020832,-12362.005,0.7894812047481536,53647.831031985595,0.35484503706296283,24236.628776041667,18904.6318359375,5331.996940104166,-12967.751,-9466.806,3500.9448,0.758956124385198,0.9353781898816427,0.1764220654964447,28848.027604166666,17324.173763020834,11523.853841145834,-15680.385,-8770.229,6910.156,0.7631840666135152,0.8179449955622355,0.0547609289487203
2014,2015,2018,24682.682161458335,-14343.672,0.7933174769083658,57097.97240376797,0.3124311645825704,25716.946419270833,19650.093815104166,6066.852604166666,-15105.254,-10637.922,4467.333,0.7654346644878387,0.928991554180781,0.1635568896929423,30422.2845703125,18501.1689453125,11921.115625,-18128.875,-10267.037,7861.8354,0.770257169008255,0.8181532879670461,0.0478961189587911
2014,2015,2019,42270.08020833333,-40658.54,0.7905283252398173,78592.13120003695,-0.16287399927775065,44014.50924479167,33699.290755208334,10315.218489583332,-42349.48,-32350.574,9998.9,0.7766938626766204,0.858500333627065,0.08180647095044453,52406.55026041667,31251.394075520835,21155.156184895834,-50881.27,-29546.082,21335.193,0.7943656067053477,0.7863570630550385,0.008008543650309246
2014,2015,2021,45562.10013020833,-44034.95,0.8299929797649384,82360.518777989,-0.1987752636273702,48162.97734375,37659.619921875,10503.357421875,-46521.16,-36480.875,10040.278,0.8065211753050486,0.9013095180193583,0.09478834271430969,55531.14765625,34654.907942708334,20876.239713541665,-54088.137,-33035.69,21052.45,0.8342032372951508,0.8253865122795105,0.00881672501564026
2014,2015,2022,48698.194010416664,-47296.715,0.8192139665285746,88135.6983568154,-0.2165617028872172,51214.7671875,40933.669921875,10281.097265625,-49713.598,-39839.758,9873.842,0.8055178821086884,0.8614711980024974,0.055953315893809,59206.63294270833,37328.963151041666,21877.669791666667,-57881.812,-35844.55,22037.262,0.8235722343126933,0.8144987046718597,0.009073529640833538
2015,2016,2018,24490.822721354165,-13288.113,0.8099798222382864,56490.483792291096,0.3269838551680247,25528.1275390625,19443.440169270834,6084.687369791666,-14007.856,-9785.939,4221.9175,0.7815211236476898,0.9484559218088786,0.16693479816118875,30146.008072916666,18400.226432291667,11745.781640625,-16685.9,-9628.72,7057.182,0.785857500632604,0.8359593590100606,0.05010185837745666
2015,2016,2019,44119.209765625,-43062.91,0.7992589890956878,80830.63973362866,-0.2300507108370463,45892.022786458336,35408.964583333334,10483.058203125,-44825.535,-34402.715,10422.816,0.7855114618937175,0.866803749402364,0.08129228750864664,54538.70234375,32792.8689453125,21745.8333984375,-53462.688,-31758.002,21704.682,0.8058734854062398,0.7920687754948934,0.013804709911346436
2015,2016,2021,47494.32734375,-46472.117,0.8345253924528758,84688.93727725424,-0.2675047238667806,50140.20065104167,39455.14401041667,10685.056640625,-49081.324,-38544.332,10536.989,0.8115134835243225,0.9044445852438608,0.09293110171953838,57701.57799479167,36326.51901041667,21375.058984375,-56665.062,-35319.957,21345.107,0.8381903429826101,0.8305155992507934,0.007674743731816609
2015,2016,2022,50679.59166666667,-49730.633,0.8252220133940379,90504.54616246402,-0.2828272541364034,53227.329427083336,42818.916796875,10408.412630208333,-52245.21,-41972.285,10272.927,0.8096983571847279,0.8731179277102152,0.06341957052548726,61391.390364583334,39090.344140625,22301.046223958332,-60428.977,-38155.945,22273.031,0.8268513957659404,0.8234591464201609,0.0034952620665232343
2016,2017,2019,43460.18203125,-42460.65,0.7898707369963328,79709.67322840827,-0.1962051550547282,45397.34921875,33942.42200520833,11454.927213541667,-44421.1,-32828.477,11592.627,0.7782932241757711,0.8467539012432098,0.06846067706743876,53372.909765625,32684.711783854167,20688.197981770834,-52401.727,-31654.363,20747.367,0.7955800314744313,0.7836645563443502,0.011915475130081177
2016,2017,2021,46628.828125,-45615.414,0.8273765861988067,83351.77420039146,-0.2278287688891093,49565.9046875,37704.851171875,11861.053515625,-48562.715,-36660.332,11902.392,0.8096591631571451,0.8812090675036113,0.07154990434646606,56363.645182291664,35977.91119791667,20385.733984375,-55361.06,-34952.63,20408.438,0.8318694194157918,0.8224609792232513,0.009408440192540486
2016,2017,2022,49817.59466145833,-48899.895,0.8214955727259318,89171.80206325663,-0.24535346428553265,52665.955338541666,41029.389453125,11636.565885416667,-51773.855,-40032.71,11741.14,0.8057841042677562,0.8699709872404734,0.06418688297271728,60056.02057291667,38740.49622395833,21315.524348958334,-59169.977,-37788.543,21381.436,0.8233084201812744,0.8195342044035594,0.003953427076339722
2017,2018,2021,42968.364453125,-41213.945,0.8305646816889445,79960.76223722998,-0.129966406027476,45721.491015625,34603.29296875,11118.198046875,-43988.586,-32783.504,11205.08,0.8033783515294393,0.9131672700246175,0.10978891849517822,52524.665364583336,32512.759309895835,20011.9060546875,-50841.855,-30679.986,20161.875,0.8394553502400716,0.8208373069763184,0.018618043263753256
2017,2018,2022,46089.92578125,-44517.5,0.8238548954327901,85753.00091074729,-0.15170077085494996,48758.07278645833,37857.747265625,10900.325520833334,-47216.4,-36190.46,11025.931,0.7999767601490021,0.8975274165471395,0.09755065639813741,56162.81393229167,35191.923567708334,20970.890364583334,-54684.855,-33517.305,21167.549,0.8309634685516357,0.8161640346050263,0.014799433946609496
2018,2019,2022,29611.505859375,-18350.0,0.8530690868695577,66271.98624051582,0.3121630191802979,31151.107682291666,24861.2869140625,6289.820768229167,-19309.709,-15388.96,3920.7485,0.8113474627335866,0.9817950169245402,0.17044755419095356,35809.498828125,22905.808723958333,12903.690104166666,-22360.812,-14010.643,8350.172,0.8346573770046234,0.8729889214038848,0.03833154439926147
2021,2022,2022,27755.720950520834,-12161.974,0.921583500703176,62110.81505613185,0.3603950957457224,29369.324492187498,22814.374869791667,6554.949622395833,-13077.831,-9357.42,3720.409,0.8747409848372141,1.0650310198465982,0.19029003500938416,33676.65432291667,21314.530078125,12362.124244791665,-15057.833,-9011.611,6046.2207,0.9001693495114645,0.9448788857460023,0.04559805313746135
